suhdude,2020-01-30 15:27:33,8558290,Good mate did 17 runs in one day. Great conditions ,1
suhdude,2020-01-30 15:27:28,Zeke Bogoioff,through Groupme we can track when we learned new words,2
suhdude,2020-01-30 15:27:10,Zeke Bogoioff,LOL,0
suhdude,2020-01-30 15:27:07,Zeke Bogoioff,seems we just learned what guise meant,3
suhdude,2020-01-30 15:27:01,™️,Did we just learn that word?,1
suhdude,2020-01-30 15:26:56,™️,Lmao those are all recent af,0
suhdude,2020-01-30 15:26:20,Zeke Bogoioff,,0
suhdude,2020-01-30 15:24:51,™️,Mark how was skiing,0
suhdude,2020-01-30 15:24:31,8558290,Yeah blud figure your coding shit out ,0
suhdude,2020-01-30 15:24:00,8558290,Besides the two I just said ,0
suhdude,2020-01-30 15:23:59,Zeke Bogoioff,maybe I'll whittle it down to the deets,1
suhdude,2020-01-30 15:23:48,8558290,What about “stfu tino”,0
suhdude,2020-01-30 15:23:22,™️,You sack of Zach ,2
suhdude,2020-01-30 15:23:16,™️,Indeed,0
suhdude,2020-01-30 15:23:14,™️,That is hard to read ,0
suhdude,2020-01-30 15:23:04,Zeke Bogoioff,idk how best to do this,0
suhdude,2020-01-30 15:22:52,Zeke Bogoioff,that may be unreadable,0
suhdude,2020-01-30 15:22:37,Zeke Bogoioff,,1
suhdude,2020-01-30 15:21:24,8558290,Interested to know the guise sentences ,3
suhdude,2020-01-30 15:21:11,™️,,2
suhdude,2020-01-30 15:20:38,8558290,What about “stfu tino”,6
suhdude,2020-01-30 15:19:36,8558290,Can you pull those messages?,0
suhdude,2020-01-30 15:19:35,8558290,LOL,0
suhdude,2020-01-30 15:19:08,Zeke Bogoioff,Now 10,2
suhdude,2020-01-30 15:19:04,Zeke Bogoioff,there are only 9 messages in the history of groupme when guise has been used ,3
suhdude,2020-01-30 15:18:05,™️,Damnit I was hoping you wouldn’t notice,1
suhdude,2020-01-30 15:17:41,Zeke Bogoioff,yes we can ,0
suhdude,2020-01-30 15:17:27,Zeke Bogoioff,"Guise, what’s up ",4
suhdude,2020-01-30 15:17:20,8558290,"Z, can we check usage of the word “guise” throughout the life of our group ",4
suhdude,2020-01-30 15:17:01,8558290,Tom you’ve used “guise” two consecutive days ,3
suhdude,2020-01-30 15:16:38,🤬,Geshunteit,3
suhdude,2020-01-30 15:16:09,™️,"I’ve had the exact same thought except that I think it’s really nice people say bless you. It’s one of the few times when strangers positively acknowledge each other’s existence, even if it’s under the guise of a gnarly bodily function ",4
suhdude,2020-01-30 15:15:01,Zeke Bogoioff,"so weird how when someone sneezes I feel obliged to say Bless You, and they say Thank you. They’re thanking me for acknowledging that they snozzed. I should just say, You snozzed. I mean, I’m no rabbi ",3
suhdude,2020-01-30 12:49:29,8558290,Lee,0
